date,value,change,增减
2025-05-06,2593,0.0,
2025-05-07,2587,-6.0,
2025-05-08,2587,0.0,
2025-05-09,2587,0.0,
2025-05-12,2587,0.0,
2025-05-13,2727,140.0,
2025-05-14,2727,0.0,
2025-05-15,2727,0.0,
2025-05-16,2727,0.0,
2025-05-19,2727,0.0,
2025-05-20,2692,-35.0,
2025-05-21,2692,0.0,
2025-05-22,1489,-1203.0,
2025-05-23,1109,-380.0,
2025-05-26,0,-1109.0,
2025-05-27,0,0.0,
2025-05-28,0,0.0,
2025-05-29,0,0.0,
2025-05-30,0,0.0,
2025-06-03,0,0.0,
2025-06-04,0,0.0,
2025-06-05,3000,3000.0,
2025-06-06,3000,0.0,
2025-06-09,3000,0.0,
2025-06-10,3464,464.0,
2025-06-11,5464,2000.0,
2025-06-12,5464,0.0,
2025-06-13,5464,0.0,
2025-06-16,5464,0.0,
2025-06-17,5464,0.0,
2025-06-18,5464,0.0,
2025-06-19,5464,0.0,
2025-06-20,5464,0.0,
2025-06-23,5464,0.0,
2025-06-24,5464,0.0,
2025-06-25,5464,0.0,
2025-06-26,5464,0.0,
2025-06-27,5464,0.0,
2025-06-30,5464,0.0,
2025-07-01,5464,0.0,
2025-07-02,5464,0.0,
2025-07-03,5464,0.0,
2025-07-04,5841,377.0,
2025-07-07,6028,187.0,
2025-07-08,6276,248.0,
2025-07-09,6276,0.0,
2025-07-10,6276,0.0,
2025-07-11,6276,0.0,
2025-07-14,6276,0.0,
2025-07-15,6276,0.0,
2025-07-16,6276,0.0,
2025-07-17,6276,0.0,
2025-07-18,6276,0.0,
2025-07-21,5812,-464.0,
2025-07-22,5812,0.0,
2025-07-23,6153,341.0,
2025-07-24,6153,0.0,
2025-07-25,6153,0.0,
2025-07-28,6153,0.0,
2025-07-29,6153,0.0,
2025-07-30,6153,0.0,
2025-07-31,6153,0.0,
2025-08-01,6153,0.0,
2025-08-04,6153,0.0,
2025-08-05,5753,-400.0,
2025-08-06,5753,0.0,
2025-08-07,5753,0.0,
2025-08-08,5753,0.0,
2025-08-11,5753,0.0,
2025-08-12,5753,0.0,
2025-08-13,5753,0.0,
2025-08-14,5753,0.0,
2025-08-15,5753,0.0,
2025-08-18,5753,0.0,
2025-08-19,5753,0.0,
2025-08-20,5753,0.0,
2025-08-21,5753,0.0,
2025-08-22,5753,0.0,
2025-08-25,5553,-200.0,
2025-08-26,4153,-1400.0,
2025-08-27,3966,-187.0,
2025-08-28,3966,0.0,
2025-08-29,3933,-33.0,
2025-09-01,3933,0.0,
2025-09-02,3351,-582.0,
2025-09-03,3568,217.0,
2025-09-04,3568,0.0,
2025-09-05,3568,0.0,
2025-09-08,3568,0.0,
2025-09-09,3568,0.0,
2025-09-10,3568,0.0,
2025-09-11,3568,0.0,
2025-09-12,3568,0.0,
2025-09-15,3568,0.0,
2025-09-16,3568,0.0,
2025-09-17,1919,-1649.0,
2025-09-18,1873,-46.0,
2025-09-19,0,-1873.0,
2025-09-22,0,0.0,
2025-09-23,2300,2300.0,
2025-09-24,2300,0.0,
2025-09-25,2300,0.0,
2025-09-26,2300,0.0,
2025-09-29,2300,0.0,
2025-09-30,2300,0.0,
2025-10-09,2300,0.0,
2025-10-10,2300,0.0,
2025-10-13,2300,0.0,
2025-10-14,2300,0.0,
2025-10-15,2300,0.0,
2025-10-16,2300,0.0,
2025-10-17,2636,336.0,
2025-10-20,4636,2000.0,
2025-10-21,4636,0.0,
2025-10-22,4636,0.0,
2025-10-23,4636,0.0,
2025-10-24,4636,0.0,
2025-10-27,4636,0.0,
2025-10-28,4636,0.0,
2025-10-29,4636,0.0,
2025-10-30,4636,0.0,
2025-10-31,4636,0.0,
2025-11-03,4636,0.0,
2025-11-04,4628,-8.0,
2025-11-05,4628,0.0,
2025-11-06,4621,-7.0,
2025-11-07,5021,400.0,400.0
2025-11-10,4994,-27.0,-27.0
2025-11-11,4994,0.0,0.0
2025-11-12,4994,0.0,0.0
2025-11-13,4994,0.0,0.0
2025-11-14,4994,0.0,0.0
2025-11-17,4994,0.0,0.0
2025-11-18,4994,0.0,0.0
2025-11-19,4649,-345.0,-345.0
2025-11-20,4649,0.0,0.0
2025-11-21,4649,0.0,0.0
2025-11-24,4623,-26.0,-26.0
2025-11-25,4623,0.0,0.0
2025-11-26,4579,-44.0,-44.0
2025-11-27,4560,-19.0,-19.0
2025-11-28,4537,-23.0,-23.0
2025-12-01,4537,0.0,0.0
2025-12-02,4467,-70.0,-70.0
2025-12-03,4467,0.0,0.0
2025-12-04,4467,0.0,0.0
2025-12-05,4467,0.0,0.0
2025-12-08,4563,96.0,96.0
2025-12-09,4523,-40.0,-40.0
2025-12-10,4481,-42.0,-42.0
2025-12-11,4309,-172.0,-172.0
2025-12-12,4302,-7.0,-7.0
2025-12-15,4199,-103.0,-103.0
2025-12-16,3940,-259.0,-259.0
2025-12-17,3499,-441.0,-441.0
2025-12-18,3449,-50.0,-50.0
2025-12-19,0,-3449.0,-3449.0
2025-12-22,0,0.0,0.0
2025-12-23,0,0.0,0.0
2025-12-24,0,0.0,0.0
2025-12-25,0,0.0,0.0
2025-12-26,0,0.0,0.0
2025-12-29,0,0.0,0.0
2025-12-30,0,0.0,0.0
2025-12-31,1200,1200.0,1200.0
